Status,Address,Age,List Date,List Price,TotFlArea,Tot BR,Tot Baths,Sold Date,Sold Price,Sold Price per SqFt,Days On Market
S,225 9500 ODLIN ROAD,4,2/25/2015,"$380,000",861,2,2,03/02/2015,"$375,000",$435.54,5
S,336 9500 ODLIN ROAD,4,03/08/2015,"$379,000",850,2,2,04/09/2015,"$370,000",$435.29,32
S,212 9399 TOMICKI AVENUE,4,4/15/2015,"$399,000",861,2,2,4/27/2015,"$410,500",$476.77,12
S,312 9399 TOMICKI AVENUE,4,03/02/2015,"$399,000",861,2,2,05/05/2015,"$391,500",$454.70,64
S,223 9500 ODLIN ROAD,4,4/29/2015,"$379,999",807,2,2,05/11/2015,"$368,000",$456.01,12
S,427 9399 TOMICKI AVENUE,4,4/15/2015,"$448,800",915,2,2,5/19/2015,"$432,000",$472.13,34
S,225 9399 TOMICKI AVENUE,4,3/19/2015,"$388,900",840,2,2,6/30/2015,"$386,000",$459.52,103
S,423 9399 TOMICKI AVENUE,4,04/06/2015,"$388,000",846,2,2,07/05/2015,"$383,990",$453.89,90
S,123 9500 ODLIN ROAD,4,01/12/2015,"$369,000",835,2,2,07/12/2015,"$360,000",$431.14,181
S,122 9399 TOMICKI AVENUE,4,06/05/2015,"$418,000",910,2,2,08/11/2015,"$408,000",$448.35,75
S,415 9500 ODLIN ROAD,4,8/14/2015,"$399,000",864,2,2,8/21/2015,"$388,000",$449.07,7
A,332 9500 ODLIN ROAD,4,8/18/2015,"$449,000","1,008",2,2,,,,16
A,410 9399 TOMICKI AVENUE,4,8/24/2015,"$388,000",835,2,2,,,,10
A,120 9399 TOMICKI AVENUE,4,8/24/2015,"$349,900",735,2,1,,,,10
A,219 9399 TOMICKI AVENUE,4,05/04/2015,"$383,800",869,2,2,,,,122
A,310 9399 TOMICKI AVENUE,4,06/08/2015,"$399,000",835,2,2,,,,87
A,106 9500 ODLIN ROAD,4,07/02/2015,"$369,000",776,2,1,,,,63
A,303 9399 TOMICKI AVENUE,4,07/10/2015,"$429,900","1,006",2,2,,,,55
A,223 9399 TOMICKI AVENUE,4,7/29/2015,"$389,000",837,2,2,,,,36
A,205 9399 TOMICKI AVENUE,4,7/31/2015,"$389,000",835,2,2,,,,34
A,103 9399 TOMICKI AVENUE,4,08/10/2015,"$485,000","1,027",2,2,,,,24
A,403 9399 TOMICKI AVENUE,4,08/10/2015,"$485,000","1,027",2,2,,,,24